countries,countries_code,year,undernourishment_percent,minimum_calories,cereal_production,cereal_yield,land_usage,population,gdp_per_capita,continent,yearly_mean,yield_index_2001,prod_index_2001,yield_index_z,undernourishment_z,food_stress_score,total_num_of_emigrants,emigrant_index_2000
Afghanistan,AFG,2001,46.0,1583,2108000.0,1.0067,2094000.0,20284303.0,1454.1108,Asia,0.092416,100.0,100.0,-0.7725636272030887,4.201485203378318,4.974048830581406,,
Afghanistan,AFG,2002,43.7,1587,3737000.0,1.6698002,2238000.0,21378123.0,1774.3087,Asia,0.004266,165.86869971193008,177.27703984819735,1.2685395932018517,3.9326032901178385,2.6640636969159868,,
Afghanistan,AFG,2003,38.6,1590,4381000.0,1.4580001,3004700.0,22733053.0,1815.9282,Asia,0.008699,144.82965133604847,207.82732447817835,0.6165930756286574,3.3363868737576436,2.719793798128986,,
Afghanistan,AFG,2004,35.9,1595,3560000.0,1.3348001,2667000.0,23560656.0,1776.9182,Asia,0.070052,132.5916459719877,168.88045540796963,0.2373684625854279,3.0207428886257754,2.7833744260403477,,
Afghanistan,AFG,2005,34.2,1602,5425000.0,1.7904001,3030000.0,24404575.0,1908.1147,Asia,0.092185,177.8484255488229,257.3529411764706,1.6397607815991913,2.822004083172378,1.1822433015731868,3902699.0,85.87710990565331
Afghanistan,AFG,2006,31.6,1609,4638000.0,1.5517,2989000.0,25424100.0,1929.7239,Asia,0.044091,154.13728022250922,220.01897533206832,0.9050127860157475,2.518050616008357,1.6130378299926094,,
Afghanistan,AFG,2007,28.3,1607,5786000.0,1.9153001,3021000.0,25909852.0,2155.353,Asia,0.036684,190.2552994933943,274.4781783681214,2.024218201802922,2.1322635230694074,0.10804532126648558,,
Afghanistan,AFG,2008,25.1,1607,3950000.0,1.4554001,2714000.0,26482631.0,2191.5044,Asia,0.095789,144.57138174232642,187.38140417457305,0.6085899587949534,1.758166948098305,1.1495769893033518,,
Afghanistan,AFG,2009,21.6,1614,6514000.0,2.0407,3192000.0,27466102.0,2565.022,Asia,0.034867,202.7118307340817,309.01328273244786,2.410214375124024,1.3489988192236617,-1.0612155559003624,,
Afghanistan,AFG,2010,19.4,1618,5957000.0,2.0111,2962000.0,28284088.0,2848.5862,Asia,0.13055,199.7715307440151,282.59013282732445,2.319101968094156,1.0918074239310285,-1.2272945441631273,5074825.0,111.66920745795592
Afghanistan,AFG,2011,18.3,1625,4681020.0,1.6599001,2820000.0,29347708.0,2757.0525,Asia,0.011309,164.88527863315784,222.05977229601518,1.238065878984406,0.9632117262847123,-0.2748541526996936,,
Afghanistan,AFG,2012,19.5,1632,6582000.0,2.0942001,3143000.0,30560036.0,2985.319,Asia,0.039828,208.02623423065464,312.23908918406073,2.574894202398976,1.1034979418988757,-1.4713962605001,,
Afghanistan,AFG,2013,19.4,1637,6772235.0,2.1277,3182922.0,31622709.0,3046.5798,Asia,0.06705,211.35392867785833,321.26351992409866,2.6780109768672125,1.0918074239310285,-1.586203552936184,,
Afghanistan,AFG,2014,19.3,1641,7012523.5,2.0966003,3344733.0,32792528.0,3017.9426,Asia,0.106208,208.2646567994437,332.6624051233396,2.5822823104852275,1.0801169059631819,-1.5021654045220456,,
Afghanistan,AFG,2015,20.0,1645,6010288.0,2.2064,2724070.0,33831767.0,2967.6921,Asia,0.255577,219.1715506109069,285.1180265654649,2.92025916717973,1.1619505317381105,-1.7583086354416197,5181002.0,114.0055838729581
