Entity,Year,Emigration_Rate,Schooling,Happiness,GDP,Unemployment,Undernourishment,Temp_5yr_avg,Collapse_Index
Afghanistan,2015,0.15314015374958098,4.81,3.36,2967.6921,9.052,20.0,0.0914707344,1.0355538180195365
Afghanistan,2020,0.14666078919855005,5.69,2.523,2769.6858,11.71,27.7,0.3756223208333333,1.428441287678449
Albania,2015,0.3400087765478498,9.99,4.655,13156.332,17.193,4.4,0.0914707344,1.1329478167363871
Albania,2020,0.38435522902557495,10.32,5.117,14662.796,11.69,4.4,0.3756223208333333,0.9537949759377973
Algeria,2015,0.0415405449059769,7.55,6.355,15239.518,11.206,2.6,0.0914707344,-0.18961440814543054
Algeria,2020,0.039344677843882715,8.18,4.887,14194.155,14.057,2.5,0.3756223208333333,0.17945968497636772
Argentina,2015,0.020608132421982735,9.59,6.65,28669.207,7.579,2.8,0.0914707344,-0.5383606447168846
Argentina,2020,0.022446470566888446,9.86,5.929,23877.094,11.461,3.4,0.3756223208333333,-0.2111526750022533
Armenia,2015,0.2539070697139751,10.45,4.36,13112.76,18.261,2.5,0.0914707344,0.969096456807149
Armenia,2020,0.23713952747472838,10.54,5.283,15052.936,18.175,2.5,0.3756223208333333,0.7385273690940005
Australia,2015,0.016842034847423776,12.92,7.313,55691.7,6.055,2.5,0.0914707344,-0.969622325900217
Australia,2020,0.016340719413192782,12.93,7.183,57059.742,6.456,2.5,0.3756223208333333,-0.9453729644035217
Austria,2015,0.04756388710506445,10.27,7.119,61026.0,5.802,2.5,0.0914707344,-0.9138734650116185
Austria,2020,0.04753423284815548,10.39,7.268,60349.902,5.201,2.5,0.3756223208333333,-0.9560897144086029
Bangladesh,2015,0.04946489993150406,6.76,4.643,5352.7114,4.396,14.9,0.0914707344,0.25094716805900014
Bangladesh,2020,0.048619621601757576,7.23,5.025,7015.1978,5.436,12.1,0.3756223208333333,0.14187449902807997
Belgium,2015,0.038895528752501476,11.36,6.929,57534.4,8.482,2.5,0.0914707344,-0.7760201779805186
Belgium,2020,0.04181600821205913,11.57,6.834,57358.836,5.545,2.5,0.3756223208333333,-0.8525282620570616
Belize,2015,0.01675361521688495,10.56,5.956,12339.48,7.578,6.3,0.0914707344,-0.20211601397584963
Benin,2015,0.05535504429708043,5.42,3.484,2952.0022,1.82,9.2,0.0914707344,0.2885852452103488
Benin,2020,0.05190254234662153,6.27,5.045,3317.8596,1.502,10.8,0.3756223208333333,0.01458528360967042
Bolivia,2015,0.058702514737795565,8.62,5.822,9141.929,3.111,16.8,0.0914707344,0.02025539803158668
Bolivia,2020,0.06296505141499019,9.06,5.716,9000.976,7.903,16.9,0.3756223208333333,0.22117789080485312
Botswana,2015,0.008242725831897592,10.27,3.974,15994.964,18.93,20.3,0.0914707344,0.796409160556757
Botswana,2020,0.0073532426417909505,10.58,3.467,16289.392,21.017,22.9,0.3756223208333333,1.0115964094281606
Brazil,2015,0.006953084353801686,7.66,6.952,18357.068,8.538,2.5,0.0914707344,-0.508246638240718
Brazil,2020,0.008889602646821449,8.0,6.33,17327.516,13.697,3.4,0.3756223208333333,-0.18149088582415235
Bulgaria,2015,0.14355706675639132,10.71,4.217,24553.145,9.143,4.0,0.0914707344,0.32952730642088957
Bulgaria,2020,0.17000151146812015,10.75,5.266,28545.709,5.125,2.9,0.3756223208333333,0.005171337579556523
Cambodia,2015,0.0431445999114269,5.32,3.907,4968.5728,0.393,7.5,0.0914707344,0.0772807004013965
Cambodia,2020,0.043412555355647704,5.81,4.83,6128.782,0.172,4.9,0.3756223208333333,-0.16304508431644324
Cameroon,2015,0.012116985243604453,7.05,4.513,4698.667,3.518,4.8,0.0914707344,-0.05588221569251275
Cameroon,2020,0.013623780577649488,7.37,5.142,4763.482,3.87,5.9,0.3756223208333333,-0.1319442534695167
Canada,2015,0.036370291324488276,12.83,7.404,55660.867,6.945,2.5,0.0914707344,-0.9059504771088853
Canada,2020,0.034321605606092,12.93,7.103,54092.88,9.657,2.5,0.3756223208333333,-0.7473592474838782
Chile,2015,0.02321828406278276,10.49,6.705,27811.375,6.313,3.3,0.0914707344,-0.567959335520061
Chile,2020,0.02185784338044712,10.74,6.172,26248.562,10.934,2.5,0.3756223208333333,-0.3154488839523815
China,2015,0.007419030502334148,8.51,5.245,14856.78,4.65,2.5,0.0914707344,-0.300566009906183
China,2020,0.007832424287945314,8.99,5.339,19215.154,5.0,2.5,0.3756223208333333,-0.3433594307094479
Colombia,2015,0.05791621440931006,9.78,6.481,16821.38,8.572,5.1,0.0914707344,-0.22531883743827227
Colombia,2020,0.06251813524697622,10.2,6.012,15861.5,15.983,4.4,0.3756223208333333,0.12472191312777067
Congo,2015,0.039493030324371375,6.47,4.236,8977.707,19.978,29.3,0.0914707344,1.1152685207457593
Congo,2020,0.038294622854433115,6.74,5.342,6350.5093,22.198,27.8,0.3756223208333333,0.9802115103572557
Costa Rica,2015,0.008099343198330443,8.77,7.087,21254.783,8.415,2.5,0.0914707344,-0.5601746299832027
Costa Rica,2020,0.008641479698461938,9.12,7.069,22211.861,16.432,2.5,0.3756223208333333,-0.2837391328623085
Cote d'Ivoire,2015,0.04062116392522055,5.4,3.916,5110.8623,2.579,13.2,0.0914707344,0.264261973551034
Cote d'Ivoire,2020,0.03907422923909334,6.05,5.306,5787.8154,2.584,8.8,0.3756223208333333,-0.09134659168477402
Croatia,2015,0.1917778194205556,11.8,5.488,29471.752,16.175,2.5,0.0914707344,0.38891829017384344
Croatia,2020,0.20866165430267813,12.03,5.882,32493.625,7.507,2.5,0.3756223208333333,0.02923187231628719
Cyprus,2015,0.05777020821579921,12.1,5.546,37903.125,15.026,2.5,0.0914707344,-0.0724659289023874
Cyprus,2020,0.05815166058744481,12.42,6.223,44203.89,7.755,2.5,0.3756223208333333,-0.5054759802998812
Czechia,2015,0.05933981337495337,12.93,6.596,42066.574,5.048,2.5,0.0914707344,-0.6460760006695939
Czechia,2020,0.055387095266797214,12.93,6.965,45119.938,2.55,2.5,0.3756223208333333,-0.8378657693140766
Democratic Republic of Congo,2015,0.018660369873304467,4.3,4.272,1267.9055,4.439,31.5,0.0914707344,0.6282842739953279
Denmark,2015,0.02169309488294417,11.67,7.526,61893.246,6.278,2.5,0.0914707344,-1.0439113699839306
Denmark,2020,0.02072389591134675,11.69,7.62,65204.55,5.637,2.5,0.3756223208333333,-1.1154660574450923
Dominican Republic,2015,0.1393773120893439,8.48,5.155,17973.188,7.605,7.4,0.0914707344,0.22448813237642332
Dominican Republic,2020,0.1536324688884694,9.04,5.545,19545.41,6.126,6.2,0.3756223208333333,0.09807982190889288
Ecuador,2015,0.06556264515887487,8.54,5.976,13881.57,3.616,8.5,0.0914707344,-0.1897257461200256
Ecuador,2020,0.06375050167963653,9.07,5.764,12440.326,6.127,13.6,0.3756223208333333,0.05222897303376099
Egypt,2015,0.042101297611038466,7.53,4.362,13425.912,13.052,6.3,0.0914707344,0.33363369279150207
Egypt,2020,0.04074712703507304,8.01,4.283,15309.236,7.974,6.9,0.3756223208333333,0.16286047066292259
El Salvador,2015,0.24934573696062617,7.67,6.068,9646.154,3.998,9.2,0.0914707344,0.31927026933099234
El Salvador,2020,0.2694071338716877,8.1,6.061,9692.449,5.008,6.6,0.3756223208333333,0.3510205006219408
Estonia,2015,0.09751707769781984,12.33,5.517,36729.81,6.412,2.5,0.0914707344,-0.25846448511061687
Estonia,2020,0.09297610318310866,12.29,6.189,41340.766,6.956,2.5,0.3756223208333333,-0.4145042470065919
